id,room,shape,color,position_x,position_z,name_en,name_id,origin_en,origin_id,era_en,era_id,description_en,description_id
homo-erectus,ancient,texture,#8b6f47,-6,-4,Java Man Skull,Tengkorak Manusia Jawa,"Sangiran, Central Java","Sangiran, Jawa Tengah",c. 1.5 million years ago,"± 1,5 juta tahun lalu","Java Man (Homo erectus erectus, formerly also Anthropopithecus erectus or Pithecanthropus erectus) is an early human fossil discovered in 1891 and 1892 on the island of Java (Indonesia). Estimated to be between 700,000 and 1,490,000 years old, it was, at the time of its discovery, the oldest hominid fossil ever found, and it remains the type specimen for Homo erectus. Led by Eugène Dubois, the excavation team uncovered a tooth, a skullcap, and a thighbone at Trinil on the banks of the Solo River in East Java. Arguing that the fossils represented the ""missing link"" between apes and humans, Dubois gave the species the scientific name Anthropopithecus erectus, then later renamed it Pithecanthropus erectus.","Manusia Jawa (Homo erectus erectus) adalah jenis Homo erectus yang pertama kali ditemukan. Pada awal penemuan, makhluk mirip manusia ini diberi nama ilmiah Pithecanthropus erectus oleh Eugène Dubois, pemimpin tim yang berhasil menemukan fosil tengkoraknya di Trinil, Ngawi pada tahun 1891. Nama Pithecanthropus erectus sendiri berasal dari akar bahasa Yunani dan latin dan memiliki arti manusia-kera yang dapat berdiri."
stone-axe,ancient,sword,#6b5a3a,6,-4,Neolithic Hand Axe,Kapak Genggam Neolitik,"Pacitan, East Java","Pacitan, Jawa Timur",c. 8000 BCE,± 8000 SM,"A hand axe (or handaxe or  Acheulean hand axe) is a prehistoric stone tool with two faces that is the longest-used tool in human history. It is made from stone, usually flint or chert that has been ""reduced"" and shaped from a larger piece by knapping, or hitting against another stone. They are characteristic of the lower Acheulean and middle Palaeolithic (Mousterian) periods, roughly 1.6 million years ago to about 100,000 years ago, and used by Homo erectus and other early humans, but rarely by Homo sapiens. Their technical name (biface) comes from the fact that the archetypical model is a generally bifacial (with two wide sides or faces) and almond-shaped (amygdaloid) lithic flake.","Kapak genggam adalah sebuah batu yang mirip dengan kapak, tetapi tidak bertangkai dan cara mempergunakannya dengan cara menggenggam. Kapak genggam terkenal juga dengan sebutan kapak perimbas, dalam ilmu prasejarah disebut chopper artinya alat penetak. Kapak genggam pernah ditemukan oleh Gustav Heinrich Ralph von Koenigswald pada 1935 di Pacitan, Jawa Timur. Batu genggam biasanya dibuat dari batu gamping."
megalith,ancient,tablet,#7a7062,-6,4,Megalithic Menhir,Menhir Megalitik,"Lore Lindu, Central Sulawesi","Lore Lindu, Sulawesi Tengah",c. 1500 BCE,± 1500 SM,"A menhir (; from Brittonic languages: maen or men, ""stone"" and hir or hîr, ""long""), standing stone, orthostat, or lith is a large upright stone, emplaced in the ground by humans, typically dating from the European middle Bronze Age. They can be found individually as monoliths, or as part of a group of similar stones. Menhirs' sizes can vary considerably, but they often taper toward the top. Menhirs are found across Europe, Africa, and Asia, with a concentration in Western Europe, notably in Ireland, Great Britain, and Brittany.","Menhir adalah batu tunggal, biasanya berukuran besar, yang ditatah seperlunya sehingga berbentuk tugu dan biasanya diletakkan berdiri tegak di atas tanah. Istilah menhir diambil dari bahasa Keltik, dari kata men (batu) dan hir (panjang).Jadi,artinya adalah batu Panjang. Menhir biasanya didirikan secara tunggal atau berkelompok sejajar di atas tanah, tetapi pada beberapa tradisi juga ada yang diletakkan terlentang di tanah. Menhir, bersama-sama dengan dolmen dan sarkofagus, adalah megalit."
sangiran-site,ancient,wall,#7c5c3c,-10.85,-2,Sangiran Archaeological Site,Situs Arkeologi Sangiran,"Sangiran Dome, Central Java","Kubah Sangiran, Jawa Tengah",Pleistocene Epoch,Kala Pleistosen,"Sangiran is an archaeological excavation site in Java in Indonesia. According to a UNESCO report (1995) ""Sangiran is recognized by scientists to be one of the most important sites in the world for studying fossil man, ranking alongside Zhoukoudian (China), Willandra Lakes (Australia), Olduvai Gorge (Tanzania), and Sterkfontein (South Africa), and more fruitful in finds than any of these.""
The area comprises about 56 km2 (7 km x 8 km). It is located in Central Java, about 15 kilometers north of Surakarta in the Solo River valley. Administratively, Sangiran area is divided between 2 regencies: Sragen (districts of Gemolong, Kalijambe, and Plupuh) and Karanganyar (district of Gondangrejo).","Sangiran adalah situs arkeologi di Jawa, Indonesia. Menurut laporan UNESCO (1995) ""Sangiran diakui oleh para ilmuwan untuk menjadi salah satu situs yang paling penting di dunia untuk mempelajari fosil manusia, disejajarkan bersama situs Zhoukoudian (Cina), Willandra Lakes (Australia), Olduvai Gorge (Tanzania), dan Sterkfontein (Afrika Selatan), dan lebih baik dalam penemuan daripada yang lain.""
Daerah terdiri dari sekitar 56 km² (7 km x 8 km). Lokasi ini terletak di Jawa Tengah, sekitar 15 kilometer sebelah utara Surakarta di lembah Sungai Bengawan Solo. Secara administratif, kawasan Sangiran terbagi antara 2 kabupaten: Kabupaten Sragen (Kecamatan Gemolong, Kecamatan Kalijambe, dan Plupuh) dan Kabupaten Karanganyar (Kecamatan Gondangrejo)."
nias-megalith,ancient,wall,#8a8275,10.85,-2,Nias Megalithic Site,Situs Megalitik Nias,"Nias Island, North Sumatra","Pulau Nias, Sumatera Utara",c. 500 BCE - 1000 CE,± 500 SM - 1000 M,"The Nias (Nias: Ono Niha, lit. 'descendants of humans'; Indonesian: Orang Nias) or Niasans, are an Austronesian ethnic group native to Nias, an island off the west coast of North Sumatra, Indonesia. In the Nias language Nias Island is known as Tanö Niha, with Tanö meaning 'land' in the Nias language. The Nias people are a community that continues living within the norms and practices of their indigenous culture.","Tradisi Megalitik Nias mewakili kebudayaan monumen batu hidup di mana struktur batu besar didirikan untuk menghormati kepala suku dan ritual adat. Berasal dari 500 SM hingga 1000 M, meja dan pilar batu ini mencerminkan struktur sosial suku yang terorganisir, terkenal dengan tradisi lompat batu."
keris,kingdom,texture,#3a2e1f,-6,-4,Royal Keris,Keris Pusaka,"Majapahit Empire, Java","Kekaisaran Majapahit, Jawa",14th Century,Abad ke-14,"The kris or keris is a Javanese asymmetrical dagger with a distinctive blade-patterning achieved through alternating laminations of iron and nickelous iron (pamor). The kris is famous for its distinctive wavy blade, although many have straight blades as well, and is one of the weapons commonly used in the pencak silat martial art native to Indonesia. Kris have been produced in many regions of Indonesia for centuries, but nowhere—although the island of Bali comes close—is the kris so embedded in a mutually-connected whole of ritual prescriptions and acts, ceremonies, storied backgrounds, and epic poetry as in Central Java. Within Indonesia the kris is commonly associated with Javanese culture, although other ethnicities in the surrounding regions are familiar with the weapon as part of their cultures, such as the Balinese, Sundanese, Malay, Madurese, Banjar, Buginese, and Makassar people.","Keris merupakan senjata tajam golongan belati dari suku Jawa yang memiliki ragam fungsi budaya yang dikenal di kawasan Nusantara bagian barat dan tengah. Bentuknya khas dan mudah dibedakan dari senjata tajam lainnya karena tidak simetris di bagian pangkal yang melebar, sering kali bilahnya berkelok-kelok, dan banyak di antaranya memiliki pamor (damascene), yaitu terlihat serat-serat lapisan logam pada helai bilah. Keris bagi orang Jawa adalah senjata pemungkas/terakhir setelah pedang, tombak, dan panah. Sejatinya keris bukanlah senjata utama dalam peperangan tetapi juga senjata yang disukai untuk dibawa pergi ke mana pun."
ganesha,kingdom,texture,#6e5a2f,6,-4,Ganesha Statue,Arca Ganesha,"Singosari Temple, East Java","Candi Singosari, Jawa Timur",10th Century,Abad ke-10,"Ganesha, or Ganesh (Sanskrit: गणेश, IAST: Gaṇeśa, IPA: [ɡɐˈɳeːɕɐ]), also known as Ganapati, Vinayaka and Pillaiyar, is one of the best-known and most revered and worshipped deities in the Hindu pantheon and is the Supreme god in the Ganapatya sect. His depictions are found throughout India. Hindu denominations worship him regardless of affiliations. Ganesha also holds the Title of ""Pratham Pujya"" (the god to be worshipped initially before the worship of any other Deity).","Ganesa  (Dewanagari: गणेश; ,IAST: Gaṇeśa,; ) adalah salah satu dewa terkenal dalam agama Hindu dan banyak dipuja oleh umat Hindu, yang memiliki gelar sebagai Dewa pengetahuan dan kecerdasan, Dewa pelindung, Dewa penolak bala/bencana dan Dewa kebijaksanaan. Lukisan dan patungnya banyak ditemukan di berbagai penjuru India; termasuk Nepal, Tibet dan Asia Tenggara. Dalam relief, patung dan lukisan, ia sering digambarkan berkepala gajah, berlengan empat dan berbadan gemuk. Ia dikenal pula dengan nama Ganapati, Winayaka dan Pilleyar."
inscription,kingdom,tablet,#4a3f2a,-6,4,Kedukan Bukit Inscription,Prasasti Kedukan Bukit,"Srivijaya, South Sumatra","Sriwijaya, Sumatera Selatan",682 CE,682 M,"The Kedukan Bukit inscription (Indonesian: Prasasti Kedukan Bukit) is an inscription discovered by the Dutchman C.J. Batenburg on 29 November 1920 at Kedukan Bukit, South Sumatra, Dutch East Indies (now Indonesia), on the banks of Tatang River, a tributary of Musi River. It is the oldest surviving specimen of the Malay language, in a form known as Old Malay. It is a small stone of 45 cm × 80 cm (18 in × 31 in).","Prasasti Kedukan Bukit ditemukan oleh C.J. Batenburg pada tanggal 29 November 1920 di Kampung Kedukan Bukit, Kelurahan 35 Ilir, Palembang, Sumatera Selatan, di tepi Sungai Tatang yang mengalir ke Sungai Musi. Prasasti ini berbentuk batu kecil berukuran 45 × 80 cm, ditulis dalam aksara Pallawa, menggunakan Bahasa Melayu Kuno Prasasti ini sekarang disimpan di Museum Nasional Indonesia dengan nomor D.146."
crown,kingdom,texture,#c9a14a,6,4,Mataram Royal Crown,Mahkota Kerajaan Mataram,"Mataram Sultanate, Java","Kesultanan Mataram, Jawa",17th Century,Abad ke-17,"The Sultanate of Mataram () was an early modern state based on the island of Java that lasted from the late 16th century to the 18th century. At its peak, Mataram was one of the most powerful kingdoms in the Indonesian archipelago and Southeast Asia. Along with Aceh and Makassar, it has been referred to as one of Southeast Asia's major ""gunpowder empires."" At its greatest extent, Mataram's territory spanned most of mainland Java and Madura, with vassals in Palembang, Sukadana, and Jambi. Mataram reached its peak of power during the reign of Sultan Agung Anyokrokusumo (r.","Kesultanan Mataram atau Kesunanan Mataram (bahasa Jawa: ꧋ꦤꦒꦫꦶꦏꦱꦸꦭ꧀ꦠꦤꦤ꧀ꦩꦠꦫꦩ꧀, Pegon: نڮاري كسولتانن متارامcode: jv is deprecated , translit. Nagari Kasultanan Mataram) adalah sebuah kerajaan Islam di Pulau Jawa dari akhir abad ke-16, ketika Panembahan Senapati dinobatkan menjadi raja, hingga 1755, ketika Mataram dibagi menjadi negara-negara lebih kecil dalam Perjanjian Giyanti. Kerajaan ini dipimpin oleh Wangsa Mataram. Sepanjang abad ke-17, tepatnya di bawah pemerintahan Sultan Agung, Mataram adalah salah satu negara terkuat di Jawa yang menyatukan Jawa Tengah, Yogyakarta, sebagian besar Jawa Barat (kecuali Banten) dan Jawa Timur (termasuk Madura), Sukadana (Kalimantan Barat), Makassar, hingga Pulau Sumatra (Palembang dan Jambi)."
borobudur,kingdom,wall,#706a58,-10.85,0,Borobudur Temple Photo,Foto Candi Borobudur,"Magelang, Central Java","Magelang, Jawa Tengah",9th Century,Abad ke-9,"Borobudur, also transcribed Barabudur (Indonesian: Candi Borobudur, Javanese: ꦕꦤ꧀ꦝꦶꦧꦫꦧꦸꦝꦸꦂ, romanized: Candhi Barabudhur), is a 9th-century Mahayana Buddhist temple in Magelang Regency, near the town of Muntilan, northwest of the city of Yogyakarta, in Central Java, Indonesia. Constructed of gray andesite-like stone, the temple consists of nine stacked platforms, six square and three circular, topped by a central dome. It is decorated with 2,672 relief panels and originally 504 Buddha statues. The central dome is surrounded by 72 Buddha statues, each seated inside a perforated stupa.","Candi Borobudur (bahasa Jawa: ꦕꦟ꧀ꦝꦶꦧꦫꦧꦸꦝꦸꦂcode: jv is deprecated , translit. Candhi Båråbudhur) adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta. Candi dengan banyak stupa ini didirikan oleh para penganut agama Buddha Mahayana sekitar tahun 800-an Masehi pada masa pemerintahan wangsa Syailendra, dan diperkirakan baru rampung sekitar tahun 825 M."
