id,youtubeId,category,era_en,era_id,title_en,title_id,year_en,year_id,synopsis_en,synopsis_id
general-nM4mitSBQKk,nM4mitSBQKk,general,General Documentaries,Dokumenter Sejarah,MEMAHAMI TIGA SERANGKAI - SOSOK PELOPOR KEBANGKITAN NASIONAL DALAM 40 ,MEMAHAMI TIGA SERANGKAI - SOSOK PELOPOR KEBANGKITAN NASIONAL DALAM 40 ,Documentary,Dokumenter,Sumber dan Bacaan lanjutan ada di akhir video. ------------------------------------------------------------------------------------------ Jika ingin ....,Sumber dan Bacaan lanjutan ada di akhir video. ------------------------------------------------------------------------------------------ Jika ingin ....
general-B92NPsuSgig,B92NPsuSgig,general,General Documentaries,Dokumenter Sejarah,Tulis Ulang Sejarah Pengetahuan Indonesia  Chronicles Documentary,Tulis Ulang Sejarah Pengetahuan Indonesia  Chronicles Documentary,Documentary,Dokumenter,"Di balik Teori Evolusi, tersembunyi dialog panjang—bukan hanya antara Darwin dan Wallace, tapi juga antara ilmu pengetahuan ......","Di balik Teori Evolusi, tersembunyi dialog panjang—bukan hanya antara Darwin dan Wallace, tapi juga antara ilmu pengetahuan ......"
general-UuDvUhxWXwk,UuDvUhxWXwk,general,General Documentaries,Dokumenter Sejarah,UNDERSTANDING TAN MALAKA IN 56 MINUTES,UNDERSTANDING TAN MALAKA IN 56 MINUTES,Documentary,Dokumenter,"If youd like to collaborate, please contact us via email at lasakadarmagmail.com

Kamar Film Backup Channel
https://www ......","If youd like to collaborate, please contact us via email at lasakadarmagmail.com

Kamar Film Backup Channel
https://www ......"
general-qy59hu4cwVs,qy59hu4cwVs,general,General Documentaries,Dokumenter Sejarah,Sejarah Lengkap Indonesia  Film Dokumenter Sejarah,Sejarah Lengkap Indonesia  Film Dokumenter Sejarah,Documentary,Dokumenter,Bagaimana 17.000 pulau menjadi satu bangsa — persatuan Indonesia yang mustahil dari jalur perdagangan kuno hingga demokrasi ......,Bagaimana 17.000 pulau menjadi satu bangsa — persatuan Indonesia yang mustahil dari jalur perdagangan kuno hingga demokrasi ......
general-KdOfg4KbXyI,KdOfg4KbXyI,general,General Documentaries,Dokumenter Sejarah,"Sejarah Lengkap Penjajahan Belanda di Indonesia  Dari VOC, Tanam Paksa","Sejarah Lengkap Penjajahan Belanda di Indonesia  Dari VOC, Tanam Paksa",Documentary,Dokumenter,"Penjajahan Belanda di Indonesia bukanlah sekadar kisah 350 tahun kekuasaan asing, melainkan rangkaian panjang eksploitasi, ......","Penjajahan Belanda di Indonesia bukanlah sekadar kisah 350 tahun kekuasaan asing, melainkan rangkaian panjang eksploitasi, ......"
war-glH8dvLi0ks,glH8dvLi0ks,war,Independence War,Perjuangan Kemerdekaan,Film Dokumenter Perang Kemerdekaan Indonesia 1945–1949,Film Dokumenter Perang Kemerdekaan Indonesia 1945–1949,Documentary,Dokumenter,"Setelah Proklamasi Kemerdekaan 17 Agustus 1945, bangsa Indonesia menghadapi upaya kembalinya kekuasaan kolonial....","Setelah Proklamasi Kemerdekaan 17 Agustus 1945, bangsa Indonesia menghadapi upaya kembalinya kekuasaan kolonial...."
war-wsZCAghk_0A,wsZCAghk_0A,war,Independence War,Perjuangan Kemerdekaan,Indonesia Perang Kemerdekaan 1945 1949 Full Documentary,Indonesia Perang Kemerdekaan 1945 1949 Full Documentary,Documentary,Dokumenter,...,...
war-LBh3quIaTsI,LBh3quIaTsI,war,Independence War,Perjuangan Kemerdekaan,Perang Kemerdekaan Indonesia - DOKUMENTER PERANG DINGIN,Perang Kemerdekaan Indonesia - DOKUMENTER PERANG DINGIN,Documentary,Dokumenter,Serial kami tentang sejarah periode Perang Dingin berlanjut dengan dokumenter tentang sejarah Indonesia setelah Perang Dunia ......,Serial kami tentang sejarah periode Perang Dingin berlanjut dengan dokumenter tentang sejarah Indonesia setelah Perang Dunia ......
war-pTyMa-xanJE,pTyMa-xanJE,war,Independence War,Perjuangan Kemerdekaan,Kisah kemerdekaan Indonesia lebih brutal dari yang Anda bayangkan,Kisah kemerdekaan Indonesia lebih brutal dari yang Anda bayangkan,Documentary,Dokumenter,"Indonesia tidak hanya dijajah. Ia dianiaya, diduduki, kelaparan, dan kemudian dipaksa membayar untuk kebebasannya sendiri. Ini ......","Indonesia tidak hanya dijajah. Ia dianiaya, diduduki, kelaparan, dan kemudian dipaksa membayar untuk kebebasannya sendiri. Ini ......"
war-oeF6TpZFemY,oeF6TpZFemY,war,Independence War,Perjuangan Kemerdekaan,Perjuangan Kemerdekaan Indonesia,Perjuangan Kemerdekaan Indonesia,Documentary,Dokumenter,"Ilustrasi Perjuangan Kemerdekaan Indonesia dari zaman penjajahan Belanda akhir, zaman penjajahan Jepang, Proklamasi ......","Ilustrasi Perjuangan Kemerdekaan Indonesia dari zaman penjajahan Belanda akhir, zaman penjajahan Jepang, Proklamasi ......"
culture-2q7EfCCaaig,2q7EfCCaaig,culture,Cultural Heritage,Warisan Budaya & Seni,10 Situs Warisan Dunia UNESCO Paling Menakjubkan  Diperingkat Pertama ,10 Situs Warisan Dunia UNESCO Paling Menakjubkan  Diperingkat Pertama ,Documentary,Dokumenter,10 Situs Warisan Dunia UNESCO Paling Menakjubkan  Diperingkat Pertama Ada Kebanggaan Indonesia Channel ini ......,10 Situs Warisan Dunia UNESCO Paling Menakjubkan  Diperingkat Pertama Ada Kebanggaan Indonesia Channel ini ......
culture-UoyBzXBjRRo,UoyBzXBjRRo,culture,Cultural Heritage,Warisan Budaya & Seni,10 UNESCO WORLD HERITAGE SITES IN INDONESIA  ONE OF THEM IS ENDANGERED,10 UNESCO WORLD HERITAGE SITES IN INDONESIA  ONE OF THEM IS ENDANGERED,Documentary,Dokumenter,"#taugaksih #situsherisanunesco #herisanduniaunesco #herisanunesco
10 UNESCO WORLD HERITAGE SITES IN INDONESIA  ONE OF THEM ......","#taugaksih #situsherisanunesco #herisanduniaunesco #herisanunesco
10 UNESCO WORLD HERITAGE SITES IN INDONESIA  ONE OF THEM ......"
culture-DJ86fWl9mbM,DJ86fWl9mbM,culture,Cultural Heritage,Warisan Budaya & Seni,Batik: A Historical Speak-Out: Indonesias Cultural Heritage Recognized,Batik: A Historical Speak-Out: Indonesias Cultural Heritage Recognized,Documentary,Dokumenter,"Indonesian batik is more than just patterned fabric — it is a visual language that conveys history, prayer, and identity ......","Indonesian batik is more than just patterned fabric — it is a visual language that conveys history, prayer, and identity ......"
